| targetfield | observingslot |       airmass |
|      GE_D02 | 20210211_0800 | 1.07999008695 |
|      GE_D02 | 20210211_0900 | 1.19624128669 |
|      GE_D02 | 20210211_1000 | 1.45181751575 |
|      GE_D03 | 20210201_0600 | 1.09729679189 |
|      GE_D03 | 20210201_0700 | 1.04995434044 |
|      GE_D03 | 20210201_0800 | 1.07672026114 |
|      GE_D03 | 20210201_0900 | 1.18787318994 |
|      GE_D03 | 20210201_1000 |   1.433960941 |
|      GE_D03 | 20210201_1100 | 1.98236663285 |
|      GE_D03 | 20210210_0600 | 1.09729679189 |
|      GE_D03 | 20210210_0700 | 1.04995434044 |
|      GE_D03 | 20210210_0800 | 1.07672026114 |
|      GE_D03 | 20210210_0900 | 1.18787318994 |
|      GE_D03 | 20210210_1000 |   1.433960941 |
|      GE_D03 | 20210210_1100 | 1.98236663285 |
|      GE_D03 | 20210211_0600 | 1.09173198689 |
|      GE_D03 | 20210211_0700 | 1.04947282247 |
|      GE_D03 | 20210211_0800 | 1.08114329007 |
|      GE_D03 | 20210211_0900 | 1.19896562248 |
|      GE_D03 | 20210211_1000 | 1.45752172621 |
|      GE_D04 | 20210201_0600 | 1.09520699089 |
|      GE_D04 | 20210201_0700 | 1.04973779173 |
|      GE_D04 | 20210201_0800 | 1.07829742245 |
|      GE_D04 | 20210201_0900 | 1.19187210081 |
|      GE_D04 | 20210201_1000 | 1.44245657383 |
|      GE_D04 | 20210210_0600 | 1.09520699089 |
|      GE_D04 | 20210210_0700 | 1.04973779173 |
|      GE_D04 | 20210210_0800 | 1.07829742245 |
|      GE_D04 | 20210210_0900 | 1.19187210081 |
|      GE_D04 | 20210210_1000 | 1.44245657383 |
|      GE_D04 | 20210211_0600 | 1.08978050828 |
|      GE_D04 | 20210211_0700 | 1.04936945266 |
|      GE_D04 | 20210211_0800 | 1.08285055729 |
|      GE_D04 | 20210211_0900 | 1.20317084818 |
|      GE_D04 | 20210211_1000 | 1.46646266632 |
|      GE_D05 | 20210201_0600 | 1.09381410298 |
|      GE_D05 | 20210201_0700 | 1.04951779618 |
|      GE_D05 | 20210201_0800 | 1.07919193933 |
|      GE_D05 | 20210201_0900 | 1.19426250173 |
|      GE_D05 | 20210201_1000 | 1.44762181131 |
|      GE_D05 | 20210210_0600 | 1.09381410298 |
|      GE_D05 | 20210210_0700 | 1.04951779618 |
|      GE_D05 | 20210210_0800 | 1.07919193933 |
|      GE_D05 | 20210210_0900 | 1.19426250173 |
|      GE_D05 | 20210210_1000 | 1.44762181131 |
|      GE_D05 | 20210211_0600 | 1.08847446624 |
|      GE_D05 | 20210211_0700 | 1.04922003977 |
|      GE_D05 | 20210211_0800 | 1.08382563254 |
|      GE_D05 | 20210211_0900 | 1.20568851086 |
|      GE_D05 | 20210211_1000 | 1.47190301887 |
|      GE_D06 | 20210201_0600 | 1.09412313401 |
|      GE_D06 | 20210201_0700 | 1.04942459939 |
|      GE_D06 | 20210201_0800 | 1.07869003182 |
|      GE_D06 | 20210201_0900 |  1.1931812766 |
|      GE_D06 | 20210201_1000 | 1.44543205817 |
|      GE_D06 | 20210210_0600 | 1.09412313401 |
|      GE_D06 | 20210210_0700 | 1.04942459939 |
|      GE_D06 | 20210210_0800 | 1.07869003182 |
|      GE_D06 | 20210210_0900 |  1.1931812766 |
|      GE_D06 | 20210210_1000 | 1.44543205817 |
|      GE_D06 | 20210211_0600 | 1.08875451506 |
|      GE_D06 | 20210211_0700 | 1.04910176538 |
|      GE_D06 | 20210211_0800 | 1.08329323861 |
|      GE_D06 | 20210211_0900 | 1.20455707299 |
|      GE_D06 | 20210211_1000 | 1.46960243482 |
|      GE_D07 | 20210201_0600 | 1.09591989816 |
|      GE_D07 | 20210201_0700 | 1.04954405445 |
|      GE_D07 | 20210201_0800 | 1.07718828602 |
|      GE_D07 | 20210201_0900 | 1.18947283061 |
|      GE_D07 | 20210201_1000 | 1.43760215288 |
|      GE_D07 | 20210201_1100 | 1.99133748575 |
|      GE_D07 | 20210210_0600 | 1.09591989816 |
|      GE_D07 | 20210210_0700 | 1.04954405445 |
|      GE_D07 | 20210210_0800 | 1.07718828602 |
|      GE_D07 | 20210210_0900 | 1.18947283061 |
|      GE_D07 | 20210210_1000 | 1.43760215288 |
|      GE_D07 | 20210210_1100 | 1.99133748575 |
|      GE_D07 | 20210211_0600 | 1.09042790412 |
|      GE_D07 | 20210211_0700 |  1.0491193767 |
|      GE_D07 | 20210211_0800 | 1.08167335878 |
|      GE_D07 | 20210211_0900 |  1.2006600463 |
|      GE_D07 | 20210211_1000 | 1.46136343108 |
